,tloss_e,vloss_e,rloss_e,zloss_e,val_auc,tr_auc
69,1.6126810312271118,,0.6972391605377197,0,0.9666035362662464,
70,1.6063623428344727,,0.6948640942573547,0,0.9670661712616924,
71,1.6001203060150146,,0.6925165057182312,0,0.9674565195391,
72,1.5939593315124512,,0.6901971101760864,0,0.967817953129292,
73,1.587896704673767,,0.6879111528396606,0,0.9681215573450535,
74,1.5819567441940308,,0.6856677532196045,0,0.9683962468735995,
75,1.576157808303833,,0.6834750771522522,0,0.9686853937457531,
76,1.5704944133758545,,0.6813333034515381,0,0.9690323699923377,
77,1.5649360418319702,,0.6792325973510742,0,0.9693359742080991,
78,1.5594549179077148,,0.6771630644798279,0,0.9694371756133529,
79,1.5540448427200317,,0.6751214265823364,0,0.9696251210802528,
80,1.5487151145935059,,0.673109769821167,0,0.9698708959215834,
81,1.5434751510620117,,0.6711299419403076,0,0.9700877560756986,
82,1.538327932357788,,0.6691821813583374,0,0.9703190735734216,
83,1.5332714319229126,,0.6672658920288086,0,0.9706515924763984,
84,1.5282984972000122,,0.665378987789154,0,0.9709118246613367,
85,1.5233995914459229,,0.6635181903839111,0,0.971128684815452,
86,1.5185716152191162,,0.6616821885108948,0,0.9713744596567827,
87,1.5138216018676758,,0.659873366355896,0,0.9716202344981132,
88,1.509155035018921,,0.6580935716629028,0,0.9718370946522287,
89,1.504568099975586,,0.656341552734375,0,0.9719382960574825,
90,1.500052571296692,,0.6546152234077454,0,0.9720684121499517,
91,1.4956016540527344,,0.6529133915901184,0,0.9722708149604592,
92,1.4912116527557373,,0.6512356996536255,0,0.9724732177709667,
93,1.4868825674057007,,0.6495822668075562,0,0.972646705894259,
94,1.4826180934906006,,0.6479535698890686,0,0.9728780233919819,
95,1.4784224033355713,,0.6463493704795837,0,0.972964767453628,
96,1.4742951393127441,,0.6447681188583374,0,0.9731960849513511,
97,1.4702329635620117,,0.643207848072052,0,0.9732828290129971,
98,1.466231107711792,,0.6416670083999634,0,0.9733695730746432,
99,1.462285041809082,,0.6401447057723999,0,0.9735575185415432,
100,1.4583932161331177,,0.6386408805847168,0,0.9737165493212278,
101,1.454555869102478,,0.6371555924415588,0,0.9738466654136969,
102,1.4507737159729004,,0.635688841342926,0,0.9740056961933814,
103,1.4470478296279907,,0.6342411041259766,0,0.974121354942243,
104,1.4433774948120117,,0.6328132152557373,0,0.9743093004091428,
105,1.4397615194320679,,0.6314060688018799,0,0.9743093004091429,
106,1.4361976385116577,,0.6300195455551147,0,0.9745261605632581,
107,1.4326841831207275,,0.6286526322364807,0,0.9746273619685119,
108,1.4292197227478027,,0.6273034811019897,0,0.9747863927481966,
109,1.4258027076721191,,0.6259701251983643,0,0.9749165088406656,
110,1.422432541847229,,0.6246517896652222,0,0.9749598808714887,
111,1.4191094636917114,,0.6233490109443665,0,0.9749743382150963,
112,1.4158333539962769,,0.6220624446868896,0,0.9750466249331348,
113,1.412603735923767,,0.6207925081253052,0,0.9751478263383887,
114,1.4094197750091553,,0.6195389032363892,0,0.9752779424308579,
115,1.4062796831130981,,0.6183009743690491,0,0.9752923997744656,
116,1.4031816720962524,,0.6170781850814819,0,0.9753791438361116,
117,1.4001250267028809,,0.6158707141876221,0,0.9754803452413654,
